title,level
"""코로나19로 올해 집회시위 건수는 줄어들었다""",절반의 사실
독감 백신이 코로나19 감염 위험 높인다,전혀 사실 아님
"""국내 코로나19 백신 임상시험 참여하면 1천만 원 준다""",전혀 사실 아님
"대만·태국·베트남 코로나19 확진자, 제로에 가깝다",대체로 사실 아님
일상에서 마스크 착용을 최소화해야 한다.,전혀 사실 아님
"전신소독기, 코로나19 막는다?",대체로 사실 아님
스웨덴의 느슨한 방역 지침이 효과를 보고 있다,대체로 사실 아님
일양약품의 신약 슈펙트는 코로나19와 관련이 있다,전혀 사실 아님
"마스크 ‘효과 없다’는 SPR 사이트 내용, 진짜일까?",대체로 사실 아님
독감 백신의 효과가 브랜드마다 다르다,대체로 사실 아님
밸브형 마스크는 코로나19를 예방하는데 효과적이지 않다,사실
코로나로 인한 정신질환으로 보험금 청구 가능할까,절반의 사실
마스크 파파라치에 걸리면 과태료 문다,전혀 사실 아님
"코로나19, 독감보다 덜 치명적이다?",전혀 사실 아님
"“정부가 민주노총의 개천절 집회는 허가했다""",전혀 사실 아님
마스크 착용을 의무화한 법에 따라 평생 마스크를 써야 한다,전혀 사실 아님
코로나19 상황에도 382개 부처·공공기관에 '비상 업무 매뉴얼' 없었다,전혀 사실 아님
경남 양산에 중국 바이러스 연구소 들어선다,사실
식당 등에서 마스크 미착용시 당장 처벌 가능하다,대체로 사실 아님
개천절 '드라이브 스루' 집회 법적으로 문제 없다,판단유보
차량집회 막는 나라는 없다.,전혀 사실 아님
신종 코로나바이러스(SARS-CoV-2·코로나19)가 중국 우한바이러스연구소에서 인위적으로 만들어졌다,대체로 사실 아님
"""문 정부 정치방역 확실한 증거 나왔다""",대체로 사실 아님
정부가 필요할 때 코로나19 검사를 늘려 공포를 조장한다.,전혀 사실 아님
"흙바닥 된 반포한강공원 잔디밭, 인구 밀집 막은 서울시 조치다",전혀 사실 아님
"""마스크 상시 착용 의무화 정책은 온 국민을 병들게 하는 정책이다""",전혀 사실 아님
"""음성 판정을 받은 사람에게 자가격리 명령을 내릴 수 있는 권한은 그 어디에도 없다""",전혀 사실 아님
아파트 코로나19 집단감염 ‘복도식’이 문제?,전혀 사실 아님
"사랑제일교회 교인들, 광화문 집회 간 적 없다",전혀 사실 아님
코로나19 확진자 중 99%는 환자가 아니다,전혀 사실 아님
국내 피시방 ‘감염 또는 집단감염’ 사례가 없다?,전혀 사실 아님
확진자 폭증이 바이러스 테러 증거다,전혀 사실 아님
방역당국의 광화문 집회 참가자 역학조사는 불법이다?,전혀 사실 아님
코로나19 바이러스가 탈모의 직접 원인이다,대체로 사실 아님
"""울산 수암시장 상인회장, 광화문 집회 참석 후 코로나19 확진됐다""",전혀 사실 아님
보건소서 코로나 검사받으면 조작될 수 있다,전혀 사실 아님
정부가 中후베이성 입국 제한 풀어 코로나19 확산됐다,전혀 사실 아님
"""보건소 직원 껴안은 50대 부부, 상해죄 적용할 수 있다""",대체로 사실
광화문 집회 참석자와 일부 교회 신도들의 코로나 검사결과를 보건소에서 조작했다?,전혀 사실 아님
"""음성판정에도 불구하고 자가격리를 계속하라는 서울시장과 구청장의 조치는 위법""",전혀 사실 아님
후베이성발 입국 제한 해제로 인천공항에 우한 주민들이 들이닥치고 있다,전혀 사실 아님
"""보건소에서 받은 전광훈 목사의 코로나 양성 판정은 가짜다, 사실은 백병원에서 다시 음성 판정을 받았다""",전혀 사실 아님
"정부 광복절 경축식 행사, 코로나 방역수칙 안 지켰다",전혀 사실 아님
"뮤지컬 관객 8600여명은 놔두고, 사랑제일교회는 강제 검사를 강요한다",전혀 사실 아님
사회적 거리두기 3단계 격상되면 수도권 봉쇄된다,전혀 사실 아님
“코로나19 백신 개발을 주도하고 있는 한국의 SK바이오사이언스가 내년 6월부터 연간 2억 개의 백신을 생산할 것이다.”,대체로 사실 아님
새로운 코로나 변이가 백신개발에 영향준다,판단유보
새로운 코로나 변이가 진단에 영향준다,전혀 사실 아님
하이드록시클로로퀸 코로나19 치료 효과 주장 근거있다,전혀 사실 아님
"""보건용 마스크가 아닌 덴탈 마스크를 써도 감염 예방과 생활방역이 가능하다""",절반의 사실
"기초체온 높은 응시자 면접 제한, 보건당국 지침에 따른 것이다.",절반의 사실
코로나19 수혜입은 게임?,절반의 사실
마스크 오래 쓰면 이산화탄소에 중독된다,대체로 사실 아님
"서울시의 '이태원 접속자' 1만 명 통신정보 수집, 사생활 침해다.",대체로 사실 아님
모기가 코로나19 전파할 수 있다,대체로 사실 아님
"재난지원금 신청, 개인정보 동의란에 전체동의 버튼 누르면 자동기부 된다?",전혀 사실 아님
SNS에 유포된 '등교개학의 문제점' 문서 내용은 사실이다,대체로 사실 아님
에어컨이 코로나19 바이러스 전파시킨다,절반의 사실
대구서 마스크 안쓰면 무조건 벌금낸다,대체로 사실 아님
완치판정 기준 미흡해 코로나19 재확진자 발생했다.,대체로 사실
"미국서 중국 상대 코로나 소송, 배상 받을 수 있다",판단유보
배달원 통해 코로나 전염될 수 있다?,판단유보
"""미국인들이 코로나19 치료비 없어 극단적 선택"" ?",전혀 사실 아님
외국인 때문에 내국인이 격리시설 이용 못 한다,전혀 사실 아님
정부가 임상정보 틀어쥐고 전문가들에게 공유 안 한다,전혀 사실 아님
"""정부가 확진자 수 줄이기 위해 검사 대상을 축소·조작한다""",대체로 사실 아님
5G 네트워크가 코로나 전파한다,대체로 사실 아님
"""코로나19로 인한 쌀 부족이 우려된다""",대체로 사실 아님
"신천지 대구교회·청도대남병원 방문 신고 안한 교직원, 처벌 가능하다",대체로 사실 아님
"외국에서 온 입국자 1,442명의 2주간 호텔 격리비와 확진시 400만원 진료비를 한국 정부가 부담한다",대체로 사실 아님
"소독제 대기 중 분사, 코로나19 방역에 효과 있다?",대체로 사실 아님
한국 정부만 코로나19 외국인 확진자 무료 치료해준다,전혀 사실 아님
“확진자 2명 나오면 학교 폐쇄”?,대체로 사실 아님
"말라리아 치료제 클로로퀸, 코로나19 예방에 효과?",절반의 사실
“진단키트 美 FDA 사전 승인” 외교부 보도자료는 사실?,판단유보
코로나 이어 중국발 한타바이러스 전파 가능성있다,대체로 사실
"미국 8일간 코로나 검사 건수, 한국 8주 건수보다 많다",전혀 사실 아님
날짜별 코로나19 감염 증상이 있다,전혀 사실 아님
변종 코로나19가 급성 패혈증 유발한다,전혀 사실 아님
공중화장실 비누로 바이러스 전파 가능하다,대체로 사실 아님
한국 진단 검사 부정확하다,판단유보
"""로밍 정보 전세계 공유하면 감염병 확산 방지 가능""",대체로 사실
"변이한 코로나19 유전자, 진단키트로 못 잡는다",대체로 사실 아님
"""한국 코로나19 진단방식은 부적절하다""",대체로 사실 아님
"""개학연기로 인해 초등학교 여름방학이 4일뿐이다""",대체로 사실 아님
A형이 코로나19에 가장 취약하고 O형이 상대적으로 강하다,대체로 사실 아님
사회적 거리두기 그만해도 된다,대체로 사실 아님
코로나19 지폐로도 전염된다,절반의 사실
소금으로 코로나19 바이러스를 예방·치료한다.,대체로 사실 아님
"""길거리 방역 효과 없다""",대체로 사실
"""의약계가 코로나19 변이에 따른 2차 파동 우려하고 있다.""",대체로 사실 아님
“코로나19에 걸렸다 나은 뒤에도 폐손상이 너무 심하다더라”,전혀 사실 아님
"‘美 CDC 코로나19 주의사항 10가지’, 사실이다?",대체로 사실 아님
"美의료진 60명, 주한미군 기지서 코로나19 백신 개발했다",대체로 사실 아님
"""소금물에 담갔다 말리면 마스크 재활용 가능""",전혀 사실 아님
코로나19 접촉자 증상 없어도 강제 조사 가능하다,전혀 사실 아님
"""일본 정부는 일본 내 가구당 40장씩 마스크를 무료 배포한다?""",대체로 사실
약국에서 공적 마스크를 구입하면 개인정보가 유출돼 선거 조작에 활용된다?,전혀 사실 아님
공적 판매 마스크를 유통하는 업체와 판매하는 약국이 부당하게 많은 유통·판매 마진을 얻고 있다?,대체로 사실 아님
"코로나19, 구충제로 억제할 수 있다",전혀 사실 아님
중국 웨이하이시가 보낸 마스크는 불량이다?,전혀 사실 아님
"""LED 자외선 살균기로 소독하면 마스크를 재활용할 수 있다.""",절반의 사실
"""마스크 턱에 걸쳐도 괜찮다?""",전혀 사실 아님
중국에서 한국인만 차별한다?,대체로 사실 아님
'락스 분무기' 안전하다？,대체로 사실 아님
기재부와 제약회사 사장들이 코로나 관련 회의한 결과?,전혀 사실 아님
"10초 이상 숨을 참고, 불편함 없으면 코로나19 감염안된것?",전혀 사실 아님
서울대병원 26일 아침 회의에서 나온 코로나19 특징,대체로 사실 아님
"손소독제, 코로나19 바이러스 박멸?",절반의 사실
(코로나 19를) 중국인 여행자가 국내에 감염시킨 사례보다 중국에서 들어온 우리 국민이 감염시킨 사례가 더 많았다,판단유보
우한연구소로 파견되는 미국 친구의 글,대체로 사실 아님
'부산 확진자 진상 LIVE 영상' 사실일까?,전혀 사실 아님
"""춘해보건대 김희진 총장입니다. 헤어드라이어를 쐬어주면 바이러스가 죽습니다""",전혀 사실 아님
대구에서 격리대상자 2명이 도망쳤다?,전혀 사실 아님
"""31번 확진자가 병원에서 격리당하기 싫어서 난동을 부렸다""",전혀 사실 아님
"""코로나19는 전국의 유동인구를 감소시켰다""",전혀 사실 아님
"""일상생활에서 ‘N95 마스크’가 코로나19 예방에 더 유리하다""",대체로 사실
코로나19 3번 확진자는 슈퍼전파자이다?,대체로 사실 아님
"자외선·손 건조기, 바이러스 살균효과 있다?",전혀 사실 아님
"코로나19, 아동한테는 유행하지 않는다?",대체로 사실 아님
인종적 특성으로 동양인이 코로나바이러스에 취약하다?,전혀 사실 아님
"""중국에 마스크 보내느라 정작 우리는 의료현장에도 마스크가 부족하다”",대체로 사실 아님
"신종 코로나, 일반 대기를 통해 전염되는 '공기감염병'이다?",대체로 사실 아님
'신종 코로나'로 휴업하면 직원 급여 안 줘도 된다?,대체로 사실 아님
"""일본 체류중인 다이아몬드 프린세스호가 부산항으로 입항한다?""",대체로 사실 아님
"""종이행주 마스크, 신종 코로나바이러스 감염 방지 효과 있다.""",대체로 사실 아님
"“공중화장실, 신종 코로나바이러스 위험지대”",대체로 사실 아님
"""코로나 때문에 싱가포르에서 그랩 서비스 중단""",전혀 사실 아님
"""외국인 건강보험 적자 내국인들이 메우고 있다""",전혀 사실 아님
"신종 코로나 바이러스, 몸 밖에서도 5일 동안 살 수 있다?",대체로 사실 아님
비타민 C가 신종 코로나를 퇴치한다?,전혀 사실 아님
"손 소독제 알코올 성분, 임산부에게 해롭다?",전혀 사실 아님
개인 소비자가 마스크 사재기해도 단속된다?,사실
코로나 바이러스는 기온이 올라가는 봄이 되면 사라진다?,판단유보
"신종 코로나 걸린 반려동물, 사람에게 바이러스 옮긴다?",대체로 사실 아님
"신종 코로나, 목욕탕 물 통해서도 감염된다?",대체로 사실 아님
"""세계 어느 나라도 중국인 입국 금지를 하지 않았다.""",대체로 사실 아님
50도 고량주로 손 소독 가능하다?,전혀 사실 아님
"신종 코로나, 강아지ㆍ고양이는 안 걸리나?",대체로 사실 아님
마늘을 커피처럼 끓여서 마시면 신종 코로나 바이러스 전염병도 완치된다?,전혀 사실 아님
정부가 마스크를 세금으로 구입해 중국에 퍼준다?,전혀 사실 아님
'신종 코로나' 때문에 국내에 중국인 난민 급증한다?,전혀 사실 아님
중국인 마스크 사재기 막으려고 마스크에 타이완기 그려넣었다?,전혀 사실 아님
중국발 입국 전면금지 하는 나라가 62개국이다?,전혀 사실 아님
"""16번 확진자가 진주 대형마트에 들렀다""",대체로 사실 아님
"""(임시시설 아닌 곳에) 음압시설 갖춘 선별 진료소, 성동보건소가 유일하다면서요""",전혀 사실 아님
"""후베이성 방문 뒤 입국한 3명 중 중국인 2명이 부산에서 연락두절 상태다""",전혀 사실 아님
"""신종 코로나 감염되면 반드시 폐섬유화 된다?""",대체로 사실 아님
"""신종 코로나바이러스는 잠복기에도 전파력이 있다""",판단유보
신종 코로나보다 ‘미국 독감’이 더 심각하다,판단유보
신종 코로나바이러스는 에이즈를 일으키는 HIV와 유사하다,판단유보
"일회용 마스크, 일주일 써도 된다?",대체로 사실 아님
정부가 마스크 공장 물량 다 가져가서 판매할 물량이 없다?,대체로 사실 아님
"""광주 전남대 버스 정류장에서 피 묻은 마스크 발견돼 현재 검사 중이다""",전혀 사실 아님
"중국산 김치, 식재료로 신종 코로나 감염 위험 있다?",판단유보
우한에서 신종 코로나 감염자가 집단으로 기절했다?,전혀 사실 아님
중국인 유학생들은 2주간 등교를 하지 말아라?,전혀 사실 아님
머리카락이 신종 코로나 바이러스를 옮긴다?,대체로 사실 아님
발열 증세가 있는 중국동포가 진료를 기다리다가 도망을 갔다?,대체로 사실 아님
양파로 신종 코로나 바이러스를 예방한다?,전혀 사실 아님
일주일 뒤 국내 마스크 생산이 중단된다?,전혀 사실 아님
"신종 코로나 바이러스, 남성이 더 취약하다?",판단유보
신종 코로나로 인해 모든 군 장병 휴가 제한?,전혀 사실 아님
"중국 당국이 공문을 통해 ""마늘이 예방책""이라고 권고했다?",전혀 사실 아님
"신종 코로나바이러스, 눈을 바라만 봐도 감염된다",대체로 사실 아님
울산·창원에서 확진자가 나왔는데 보도가 안되고 있다?,대체로 사실 아님
신종 코로나바이러스는 우한 수산시장에서 판매된 야생동물에서 유래됐다,전혀 사실 아님
"신종 코로나바이러스, 몸이 닿기만 해도 감염된다.",대체로 사실 아님
"'갑자기 고꾸라지는 감염자' 영상, 사실이다?",대체로 사실 아님
"""동대구역에서 신종 코로나 감염 환자가 방역복을 입은 사람들을 피해 도주 중이다""",전혀 사실 아님
"""평택 수건 가게에서 방역복을 입은 사람들이 환자를 부축했다""",전혀 사실 아님
"신종 코로나 바이러스, 폐렴 구균 백신과 김치로 예방된다?",전혀 사실 아님
"우한 교민 전세기로 귀국, 전염 위험 늘린다?",전혀 사실 아님
"신종 코로나, 택배로도 전염된다?",전혀 사실 아님
백신 순서 왔는데 안 맞고 코로나 확진받으면 치료비를 자가부담해야 한다,전혀 사실 아님
심각한 기저질환이 있는 경우 백신 접종 대상에서 제외된다,전혀 사실 아님
국내 생산 AZ백신 수출 제한 가능하다,전혀 사실 아님
이스라엘이 한국 백신면역 배웠다,대체로 사실 아님
문재인 대통령 백신 바꿔치기 했다,전혀 사실 아님
"혈전 부작용, 아스트라제네카보다 화이자가 더 많다",대체로 사실 아님
백신 맞기 전에 삼겹살 먹으면 통증 없다,절반의 사실
"코로나19 백신 접종 후 사망률, 일반 독감 백신의 80배다",전혀 사실 아님
아스트라제네카 백신 접종 후 기저질환 상관없이 고열증상이 나타날 수 있다,대체로 사실
"코로나19 백신이 치매, 불임과 같은 부작용을 유발한다",대체로 사실 아님
영국에서 코로나19 백신 부작용이 4만 건이다,전혀 사실 아님
백신 맞으면 뇌 조종 당한다,전혀 사실 아님
"백신 접종 후 이상증세, 보상 받을 수 없다",전혀 사실 아님
오스트리아에서 아스트라제네카 코로나19 백신 접종을 금지했다,전혀 사실 아님
전라도 지역에만 화이자를 유통하는 혜택을 줬다,전혀 사실 아님
백신 최대한 활용하는 'K-주사기'는 박근혜 정부 지원사업이었다,전혀 사실 아님
"아스트라제네카, 척수염 부작용으로 美 FDA 승인 거절됐다",전혀 사실 아님
7명 접종하려고 화이자 코로나 백신에 물을 탔다,전혀 사실 아님
코로나 백신 맞으면 마스크 안 써도 된다,전혀 사실 아님
문 대통령은 외국 정상과 달리 백신 접종 참관만 했다,전혀 사실 아님
백신 이름표기를 생략하고 품질검증을 면제하는 법안이 발의됐다,전혀 사실 아님
화이자 사장도 코로나 백신 안 맞는다,대체로 사실 아님
미국에서 코로나 백신 부작용으로 사망한 사례가 1천 건에 달한다,전혀 사실 아님
아스트라제네카는 유럽에서 기피하는 백신이다,대체로 사실 아님
코로나19 백신 접종은 의사만 가능하다,사실
"정상인 코로나 면역세포 있어, 백신 안 맞아도 된다는 서울대팀 논문이 나왔다",전혀 사실 아님
코로나 백신의 안정성이 확보되지 않아 접종 거부해야 한다,전혀 사실 아님
"아스트라제네카 백신, 65세 이상 고령층에 효과 8%다",전혀 사실 아님
아스트라제네카 백신은 2등 백신이다,판단유보
백신 선택권이 없어 중국산 백신 맞는다,전혀 사실 아님
"코로나19 백신 선택권, 한국에만 없다",전혀 사실 아님
코백스 퍼실리티를 통한 한국의 백신 도입은 개발도상국 백신 지원을 저해한다,대체로 사실 아님
"코로나19 백신을 접종받으면 유전자 변형이 생길 수 있고, 바이오센서로 신체가 조종당할 수 있다",전혀 사실 아님
"코로나19 백신이 안면마비, 알레르기 반응 등 부작용을 유발한다",전혀 사실 아님
"사우디, 44만명에 화이자 백신 접종, 부작용은 0명",대체로 사실 아님
코로나19 백신은 효능 없고 부작용 있어 안전하지 않다,대체로 사실 아님
내년 2월부터 코로나 백신 국내 접종 시작?,판단유보
"아스트라제네카 백신, 한국과 추가 계약 가능성 낮다",대체로 사실
백신 '공급시기' 합의했어도 계약서에 안 쓰면 위법이다,판단유보
세계 최초 코로나19 백신 접종자의 사진이 10월에 이미 보도된 적 있다,전혀 사실 아님
해외 제약사들이 광범위한 면책을 요구하는 것은 국제적으로 거의 공통된 현상이다,대체로 사실
아스트라제네카 백신은 중국산이다,대체로 사실 아님
"다른 나라는 아스트라제네카 대신 화이자, 모더나 백신을 선택했다",전혀 사실 아님
